Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP2,04/06/16,Alcorcon ,Elche,,,,,,,1.3,4.5,8,1.33,4.4,8.25,1.3,4.8,8.5,1.36,4.5,8,1.35,5.31,10.65,1.33,4.5,8.5,1.36,4.8,9,48,1.4,1.34,5.31,4.68,10.65,8.59,40,1.85,1.76,2.14,2.01,25,-1.25,1.91,1.86,2.02,1.97
SP2,04/06/16,Ath Bilbao B ,Tenerife,,,,,,,2.5,3.4,2.5,2.4,3.2,2.7,2.4,3.2,2.7,2.5,3.3,2.62,2.68,3.49,2.73,2.5,3.3,2.6,2.6,3.5,2.63,48,2.68,2.52,3.53,3.31,2.85,2.66,39,1.8,1.72,2.16,2.06,22,0,1.94,1.87,2,1.94
SP2,04/06/16,Cordoba ,Almeria,,,,,,,3,2.1,3.25,,,,,,,3,2.1,3.25,,,,2.9,2,3.3,3.2,2.05,3.6,33,3.2,3,2.2,2.09,3.9,3.54,18,2.74,2.54,1.5,1.47,16,0,1.79,1.74,2.19,2.11
SP2,04/06/16,Gimnastic ,Alaves,,,,,,,1.36,4.2,7,1.44,4.1,6.25,1.4,4.1,7,1.44,4.2,7.5,1.46,4.57,8.15,1.44,4,6.5,1.44,4.4,7.5,49,1.52,1.44,4.57,4.2,8.4,7.07,41,1.9,1.82,2.04,1.94,27,-1,1.81,1.75,2.15,2.07
SP2,04/06/16,Huesca ,Lugo,,,,,,,1.91,3.5,3.6,1.91,3.3,3.6,1.9,3.3,3.7,1.95,3.5,3.75,2,3.71,3.9,1.95,3.5,3.4,1.95,3.7,3.7,49,2.05,1.96,3.74,3.55,3.9,3.51,41,1.81,1.71,2.18,2.07,24,-0.5,2.04,1.97,1.92,1.86
SP2,04/06/16,Llagostera ,Zaragoza,,,,,,,6.5,4.75,1.33,5.75,4.25,1.44,7,4.1,1.4,7,4.33,1.44,8.71,4.52,1.45,7,4,1.44,7.5,4.5,1.44,47,8.76,7.36,4.75,4.35,1.47,1.41,38,1.84,1.76,2.11,2.01,24,1.25,1.88,1.81,2.09,2.02
SP2,04/06/16,Mirandes ,Leganes,,,,,,,7,4.5,1.36,7,4.2,1.4,7,4.1,1.4,7.5,4.5,1.4,8.96,4.84,1.41,7.5,4.5,1.33,8,4.4,1.4,48,8.96,7.49,4.85,4.47,1.44,1.39,41,1.83,1.76,2.09,2,25,1.25,1.91,1.85,2.04,1.97
SP2,04/06/16,Numancia ,Albacete,,,,,,,1.57,4,4.75,1.62,3.7,4.6,1.65,3.5,4.6,1.62,4,5.25,1.63,4.29,5.57,1.61,3.8,4.75,1.62,4.2,5.25,48,1.66,1.61,4.29,3.93,5.57,5.01,34,1.7,1.61,2.4,2.22,25,-0.75,1.83,1.78,2.12,2.05
SP2,04/06/16,Oviedo ,Osasuna,,,,,,,4.75,3.8,1.6,4.75,3.7,1.62,4.6,3.5,1.65,4.75,3.8,1.7,5.31,3.98,1.71,4.5,3.75,1.67,5.2,3.9,1.67,48,5.31,4.81,4.03,3.75,1.72,1.67,40,1.92,1.83,2.01,1.92,25,0.75,2.01,1.94,1.93,1.88
SP2,04/06/16,Ponferradina ,Girona,,,,,,,2.88,2.9,2.5,3.1,2.8,2.4,,,,3,3,2.4,3.33,2.83,2.69,2.9,2.9,2.5,3.1,2.75,2.55,48,3.33,3.1,3,2.79,2.69,2.51,35,2.64,2.47,1.55,1.49,25,0.25,1.78,1.73,2.23,2.12
SP2,04/06/16,Valladolid ,Mallorca,,,,,,,6,3.8,1.5,5,4,1.53,5.7,3.8,1.5,5.75,4,1.57,6.48,4.19,1.58,5.5,4,1.5,5,4.2,1.5,48,6.7,5.72,4.55,3.99,1.61,1.54,40,1.96,1.87,1.99,1.89,26,1,1.88,1.83,2.06,1.99
